token,Mean_Abs_SHAP,Mean_SHAP,Frequency
88,0.09491048413329554,0.09491048413329554,71
17,0.05157869392337567,0.051578693923370465,48
77,0.02019573181373562,0.02019573181373562,18
alex,0.01610212010467876,0.01610212010467876,45
99,0.015633901908551708,0.015633901908551708,18
4,0.013399091539347903,0.013394278621530208,22
7,0.012240538519341615,0.01222933680063591,21
is,0.012107973173631763,0.012107973173631763,46
777,0.011974346504204732,0.011974346504204732,8
junior,0.011674333844566717,0.011674333844566717,28
8,0.009172795028135167,0.009172795028135167,15
o,0.008901281764923016,0.008901275695042688,43
bet,0.008555317551199551,0.008490469831533119,18
a,0.00843776438970672,0.008426913893916938,54
0,0.005812234653816685,0.005812234653816685,17
s,0.005431660553534528,0.005417581735292117,39
i,0.005186276389147477,0.005186171989300136,34
69,0.005005592053210421,0.005005592053210421,7
55,0.004988170296594035,0.004988170296594035,5
gacor,0.00465848553289834,0.00465848553289834,5
di,0.004365339534472905,0.0025544642203553704,175
u,0.004199105443429585,0.004184777060476631,28
1,0.003842904834701142,0.0038270829936604854,17
w,0.003732426364228699,0.003729861439059418,28
85,0.0036817016783588768,0.0036817016783588768,7
to,0.0035958177529428212,0.0035958177529428212,5
da,0.003570016241346301,0.0035698073664266953,9
t,0.003546962708361267,0.003544760162265326,29
berkah,0.003482334356434876,0.0034702383078983987,5
x,0.0034477511776573057,0.0034352583026162438,30
ada,0.003203113532171768,0.003070229261184145,59
asia,0.0030244604472463832,0.0030244604472463832,5
d,0.0028642026557659296,0.0023931773944625727,33
toto,0.002836851674321224,0.002836851674321224,3
138,0.002819030943829335,0.002819030943829335,4
et,0.0027872930331395763,0.0027838754168005835,11
main,0.0027408028109748555,0.002728782760375907,39
win,0.0025823184501423384,0.0025823184501423384,4
dib,0.0025329490443109534,0.0025329490443109534,5
dora,0.0024273542787595945,0.0024273542787595945,6
agust,0.0024036858443796517,0.0024036858443796517,2
bonus,0.002398995577106689,0.002398995577106689,12
ambil,0.002357922430870531,0.002357922430870531,3
5,0.0023107530300098674,0.0022886770877462606,9
suhu,0.002291165912167344,0.002291165912167344,3
32,0.0020123960630662623,0.0020123960630662623,3
e,0.001982256610005282,0.0019813045418152885,43
bos,0.0018592566554361837,0.0018224947478811373,4
dewa,0.0017676193712832173,0.0017676193712832173,3
m,0.0017117192498834603,0.0017117018489342418,13
slot,0.0017053660095152736,0.0017053660095152736,8
mon,0.0016867003973129614,0.0016759244927779947,11
pulau,0.0016559649201344049,0.001655953974422179,7
selalu,0.0014967291491049459,0.0014668114295792898,25
tujuh,0.0014915131438319805,0.0014915131438319805,1
oto,0.0014862283712500357,0.0014862283712500357,2
jp,0.001411456879133766,0.001411456879133766,9
91,0.001379585221497109,0.001379585221497109,3
on,0.0013663688464441899,0.0013663688464441899,11
pa,0.0013351982871499786,0.0013351982871499786,4
alfa,0.0012695064125655335,0.0012695064125655335,8
king,0.0012226972852658947,0.0012226972852658947,4
harta,0.0011972532214131206,0.0011972532214131206,2
303,0.0011808031998516526,0.0011808031998516526,1
modal,0.001164545312372166,0.001164545312372166,10
9,0.0010747575387879658,0.0010747575387783548,8
ga,0.0010548486648296863,0.001017023676649634,25
y,0.001041037236262199,0.00017287334622189649,21
max,0.0010386475324703497,0.0010386475324703497,3
bisa,0.0010281224735827386,0.0009257689769722572,34
pr,0.0010207614820319578,0.0010207614820319578,5
hoki,0.0010129011744138552,0.0010129011744138552,5
banget,0.0009508819566331972,0.000938242337683079,36
ini,0.0009504059499907414,0.0008957823619678957,48
bikin,0.0009415136297466234,0.0007440282700408716,33
jeruk,0.0009397972090373515,0.0009397972090373515,1
g,0.0009394025872546385,0.0009293603644970668,17
yang,0.0009142290238910694,0.0008757967616370783,62
memberikan,0.0008741957566307974,0.0008741957566307974,5
dapet,0.0008675327074937134,0.00031533840863509497,13
bow,0.0008569171214293211,0.0008285954244018987,13
76,0.0008545816458645276,0.0008545816458645276,1
play,0.0008540466675985953,0.0008540466675985953,2
manjur,0.0008266302394185914,0.0008266302394185914,1
l,0.0008258622191549625,0.000808916174048414,27
paw,0.000810178024625202,0.000810178024625202,3
xy,0.0008030234483303502,0.0008030234483303502,1
situs,0.0007922745987052622,0.0007922745987052622,4
bermain,0.0007854484477902588,0.0007707040279747162,12
langsung,0.000783373938898876,0.000783373938898876,17
jackpot,0.0007654189267789098,0.0007654189267789098,4
manda,0.0007420771053693897,0.0007420771053693897,2
gak,0.0007225812337661268,-4.2842127125746196e-05,37
menang,0.0007220292154197522,0.0007178211256214127,7
tempat,0.0007157296534132045,0.0007157296534132045,17
pengalaman,0.0007118819679744774,0.0007043953395186691,8
jajan,0.000706274348536681,0.000706274348536681,3
cm,0.0007031609993828169,0.0007031609993828169,3
do,0.000680086960826884,0.0005246683662116994,3
33,0.0006798134872265743,0.000679813487225538,2
jos,0.000668419093519851,0.0006684190935188147,2
kusuma,0.0006587509946512,0.0006587509946512,2
lik,0.0006535559381700295,0.0006535559381700295,2
gel,0.0006525605479790635,0.0006495367544604426,3
lagi,0.0006484839324809702,0.0006458998536284223,21
gunung,0.0006370697040620144,0.0006215291906628409,4
k,0.0006316288732163601,0.0006190798981082851,21
lau,0.000623831264427281,0.000623831264427281,2
r,0.0006208323519658213,0.0006174170808293553,20
cor,0.0005920601457473822,0.0005920601457473822,1
ok,0.0005789662991039865,0.0005789662991039865,6
seru,0.0005719968684279593,0.0005593466112040914,15
terbaik,0.0005560052118235034,0.0005560052118235034,7
org,0.0005379407836083602,0.0005281444754434005,7
karena,0.0005373179166597766,0.0005372976240070784,9
klik,0.0005358441780917929,0.0005358441780917929,1
amin,0.0005337374945593183,0.0005337374945593183,2
jadi,0.0005247025173695764,0.0005216415941417671,30
pendaftaran,0.0005246438973554177,0.0005246438973554177,1
mega,0.000516727273556171,0.000516727273556171,2
b,0.0005000434622875868,0.0004990962934921948,12
udah,0.000496143365150215,0.00047580057655197816,20
alhamdulillah,0.0004892286957474426,0.0004892286957474426,2
sg,0.00048330567560333294,7.291886706661899e-05,7
dari,0.00048181554919247846,0.0004301108336116244,39
mantap,0.0004797474285951466,0.0004797474285951466,8
terus,0.0004773616820002644,0.0004772797672721936,10
be,0.0004724013987506623,0.00046714501316455427,5
aer,0.0004715556503651897,0.00041804492090886925,5
kejutan,0.00046932616065532785,0.00046932616065532785,5
salut,0.0004621913590672193,0.0004621913590672193,2
ku,0.0004603825737473623,0.00046036269770108145,9
lebih,0.00045914216036180733,0.00036997349229204703,17
terpopuler,0.00045885727824497737,0.00045885727824497737,1
juga,0.0004586584024473268,0.00044922308946479463,17
dan,0.00045455864685904455,0.000438009262010273,43
wet,0.00044780067432293434,0.0004416722089663381,6
hari,0.00044779693559191734,0.0004380044623193389,14
peluang,0.0004432691967813298,0.0004432691967813298,1
00,0.0004422388139785019,0.0004422388139785019,4
perubahan,0.00042246250912285176,0.00042246250912285176,2
fitur,0.0004091840609128537,3.93367908930356e-05,16
menawarkan,0.0004080303080772865,0.0004080303080772865,3
tapi,0.00040562490611597743,0.00040461816060288443,18
kali,0.0003966604219422152,0.00039197189462356616,11
ux,0.00039420654581772394,0.00039420654581772394,1
victor,0.00038494337696829464,0.00038494337696829464,1
nya,0.00038280061176011813,0.0003262095376033948,64
hasil,0.00038187677591486135,0.00038187677591486135,7
kaget,0.0003804035102948546,0.0003804035102948546,1
emang,0.00037805989783009866,0.00036820869962321014,14
berkat,0.0003776948400773108,0.0003776948400773108,4
baru,0.00037478373500453885,0.000374715205951231,17
mendapatkan,0.0003736777308404271,-4.905719318412594e-05,5
